bkn_nop,sac_cha,cle_det,den_chi,nyk_cha,lal_okc,lac_sas
alvarado fires away and buries the three,hurry seth Hurry nobody stopped the ball oh that's a mistake give two to Seth Curry,this is rush it up Malik be a step up two won't go through tap back to Malik way outside for Tim Hardway junor he'll drive and scoop and score Off The Square,Bulls beat the Nuggets earlier in the season and the nuggets have the tack,was oh my goodness going to give him some vertigo miles Bridgette's going to go home after this game,set to go here at center court And away we go when the Thunder win the tip,great to see coach Van Dundy back as the ball is up and the game is on
immediately after that miss not too often that you miss two clean shots in a row oh ricocheted into the arms of Brown and he reverses it in,damonte Sabonis has led the NBA in rebounding each of the last two seasons currently leading at rebounds per game this year and he goes coast to coast for his first bucket,Mobley on the perimeter flips to Donovan Mitchell Mitchell spins and fires and fills it up,Murray's going to be guarded by giddy he's got a great look 16 putter on the way G yes on both,hornets going to take on Thunder tomorrow in OKC,we have an incredible color scheme tonight uniform-wise,it'll be Clipper ball this has truly felt like a home ever since
have you never experienced it yourself i I have not experienced it yet that's my first ricochet sound i just hope we get Oh I hope we get more,look at that fancy right-handed finger roll miles Bridges little body bang right there and he lays it,jayen Z scream for Dennis Sher all the way inside puts it in front to assar Thompson leaning blasser goes for assar,okay in the lane the shot is good Jordan who had a career,first bucket for the Knicks carl Anthony Towns,We got the Lakers with their gold unis,zoo gets the first touch for the Clippers going up against Bismako puts it up and puts it in
olen had it slapped away by Williams perfectly timed on that dig here's Claxton claxton flips it in,simpson takes his time and scores his first two,M with a high screen for Darius Garland gets it back on the wing fires bills it,Murray is inside I was going to say a career high 15 rebounds,if you set the pace move around they can't use that physical attack that they like,starts off things with a scoring of the two,he's made his last 12 tonight is Zoo's 77th game that's a careerhigh in games played in a season
alvarado buries the three jose Alvarado's second make from deep on two attempts and he is brought already it feels like he's been here the entire year,nice little move in the paint there by Nerkage,easy down deep for a dunk to Jaylen Duran,vich over to Giddy buellis lets it go that's good,can you steal points like that good jeff with a twoand hammer on both ends,Reeves had a clean look and the Lakers get a three to open up their scoring,dunn lobs to Derek Jones Jr look out below took off like a Wyama
matt Kovich oh oh my that might be worthy of a sound effect trying to collect it,d Rozan weaving around Sabonis finds through him on the elbow,assar Thompson crosses over leaning glass good assar off to a strong strong start,Mar navigating around Jordan down in the middle of the p and he Rams it home good Vision byal,you got to limit the Knicks they'll get you in scramble mode knock down threes,Lakers have relied heavily on it in game one,barnes on the wing for three it's backto back buckets for Harrison Barnes
Timmy oh yeah,Sabonis hands it off to Ellis murray back to Sabonis second dunk of the corner,a secondary move George he was cut off on the initial surge crossed over and still put a lot of pressure on Jaylen dur,muray backing in on Kobe white going to turn shoot now instead goes up and under and about start with four early points,plumbable rebounding the ball and Anobi gets a layup,Lakers are still hot after making a franchise record 22,powell in the wing for three he retaliates
it's funny i I got the scouting reports from CJ McCollum yeah yeah I saw that you really did he did i I got a lot of notes but he said that Matt Kovich is good for one nasty jam a game and whether it's from the bench from the sideline on the floor that type of energy is really valuable,sabonis another offensive rebound at two,the Pistons go inside to jayen dur tried to go up for the jam only got a hand on it,buellis with the straight line,hart with a tough catch gets it over Mark Williams,SGA shows the passing skills setting it up for Hardenstein on the slam,byambo inside the floater is good
nearly came up with a steal there instead Makovich you said one nasty dunk a game,ma with the left bank,now he's got Merill guarding him gets by him gets to the B Scoops off the high glass and scores count that baby and a foul,herder comes off the screen nuggets are chasing he can't shoot good defense in load of and he puts it away,deflection or distraction way he shoots the ball,JD his mid-range shot into his area that he likes,paul against Zubots forces him into a tough fadeaway paul knocks it down
off to Timmy timmy turning taking and hitting off the window for Drew,kings have a four-point lead despite the fact that they are 0 for eight from behind the arc elbow jumper good to Rosen,Dennis shudder penetrat corner to Simone up take and a long gun that won't go but sh's got the rebound then Hardway Jr for three and that one through,inside Watson Lay It Up in in over Mattis,tom Dimo's team is now in the bonus,the kick out SGA a rare wide open three but over the top,harden gets around his defender and Wesley counted on a foul and sent Harden to the line
timmy working Timmy on the interior and finishing,good catch in traffic by Valenudis sets a corner offensive rebound lavine Mo former Hornet gets a free one right there wide open look,Tim Hardway junr with another triple man he was two and 1 half three steps behind the long line,Murray and a let rip he does and gets another one,bridges two feet in the paint,here comes Jub to put it down,powell with five here in the first quarter
shot clock all the way down to five here here's Wilson rages inside and finishes what a first of all just a smart heads up read,strong drive by Lavine,Mobley with the dribble stop sends it scores it from distance,intercepted by Westbook Westbrook Off to the Races bounces to Brown and and,harden probably the best rebounding guard in the league today almost 10 a game,The Lakers have a small lineup out there on the floor,big finish inside for San Antonio
n turned it over six times in the first but it led to just one New Orleans point as Claxton insists his way to the cup,they call the foul on Nerkitch and Valenunis,rebound comes way to Javonte green Donovan Mitchell spins to the Baseline Scoops and scores,Westbrook DP Jordan he puts it away excellent pass by Russell Westbrook,they're going to get Manovi continuation,Dort hoist and hits again from deep,harden finds Powell into the paint oh reverses it and lays it in
in the corner what a rejection from Williams how about the other corner step back three that one rattles in for Brooks,Josh Kogi back on the floor takes on the rookie Carter Scal and a P,mbly inside frees all around no to go and the Pistons run it out to Ron Holland for a dynamite dunk,Jordan's got it Jordan going to put it up no skip it pyton Watson no good,shot clock down at four hart leaning to his left and he still hit it,The Lakers are four five So matching that total,wesley in the corner back to Barnes for the tray it is good
look like Claxton took a shot somewhere in the neck was taking a moment to catch his win as Madovich throws it down on the CJ McCullum scouting he said he's one of the best passers that he's ever seen and obviously CJ McCullum has played with a lot of great gets denied by Makovic,hanging around the rim carving out space legendary internationally Marcelonus some people say is the inspiration for the Euro,Donovan Mitchell whips AC Cross Court passes picked off by Malik Beasley robs reverse Jam for assar,Jordan to Watson pass in,count on the bench brunson not in the game where will the offense come from,almost to display a three-point shooting between these two ball clubs,bogdanovich for three it is good
we'll find out exactly how well said when I get a text from Monty McCutchen,look at Miles spins it in with a right hand wow,Thompson gives it up to Dennis shuder screen from St nice drive by scrudder off the glass with a runner and he hits it,nii nii trying to go up and under couldn't,mark gets the press as well oh Miles with the right hand his second field goal,Lakers shooting 83% from downtown The Thunder shooting almost 60%,johnson goes in for the finish
here's Jamal Kane kane able to dance inside and finish i think they are and they should be from everything from the start of the season training camp the time he was hired to all of the examples,just disturbing athletic ability from Malik Monk,Garland with the basketball for the Cavs okoro screens Garland stops on the wing fires and fills it up all net on that shot,Westbrook to beat the clock got it he has passed Kevin Garnett,float game work,Donic got it right back,vel counter and a foul
ec beats the shot clock and flips it in,oh nice Sims he turns on the afterburner,Hardway junr from the corner out of the timeout drains it from distance,wide open is dalen Terry knocks it in,early seven of seven from three this one shots with his first two,What does he decide to do with Hardenstein little bit of a reach in,patoon for three bounces off Zoo
here's Watford shot clock down to five maxwell Lewis spinning through the lane flips it in beautifully,zack Lavine explodes with the left hand,darland to four Court Garland down the lane sh blocked out of bounds it was on the way up,here comes Kobe white Kobe white way downt that's what he's been doing that threes,nice nerk directing traffic extra pass to Bridget nerk get it back,that's JDub picking up the cheap foul,Barnes and he layers it in
